campagne.x	staal	datum.x	fractie	soort	aantal	AFDW	jaar	staalcode	campagne.y	tidaal	datum.y	real_X	real_Y	Z	geomorf	ecotoop_werkelijk	SalZone	Vallei_deel	Omessegment	KRWzone	ecotoop_gepland
SP18	BMa_SP_04	1536019200	1000	31	0	0	1	6	2	1	1536019200	121668.908	190165.986	2.865	5	6	5	5	9	4	2
SP18	BMa_SP_04	1536019200	500	31	0	0	1	6	2	1	1536019200	121668.908	190165.986	2.865	5	6	5	5	9	4	2
SP18	BMa_SP_05	1536019200	1000	31	0	0	1	6	2	1	1536019200	121668.916	190168.973	2.355	5	6	5	5	9	4	2
SP18	BMa_SP_05	1536019200	500	31	0	0	1	6	2	1	1536019200	121668.916	190168.973	2.355	5	6	5	5	9	4	2
SP19	BR_SP_01	1568246400	1000	52	9	0.0015	2	7	5	1	1568246400	137042.745	197460.755	4.657	9	3	6	5	6	5	NA
SP19	BR_SP_01	1568246400	500	52	3	3e-04	2	7	5	1	1568246400	137042.745	197460.755	4.657	9	3	6	5	6	5	NA
SP18	BR_SP_01	1536537600	500	49	1	0	1	7	2	1	1536537600	137042.866	197460.693	4.701	15	3	6	5	6	5	2
SP18	BR_SP_01	1536537600	1000	53	30	0.0063	1	7	2	1	1536537600	137042.866	197460.693	4.701	15	3	6	5	6	5	2
SP18	BR_SP_01	1536537600	500	53	97	0.0075	1	7	2	1	1536537600	137042.866	197460.693	4.701	15	3	6	5	6	5	2
SP19	BR_SP_02	1568246400	1000	52	31	0.0046	2	7	5	1	1568246400	137035.637	197447.866	3.951	9	6	6	5	6	5	NA
SP19	BR_SP_02	1568246400	500	52	43	0.004	2	7	5	1	1568246400	137035.637	197447.866	3.951	9	6	6	5	6	5	NA
SP18	BR_SP_02	1536537600	1000	53	39	0.0087	1	7	2	1	1536537600	137035.661	197447.834	3.838	5	6	6	5	6	5	2
SP18	BR_SP_02	1536537600	500	53	124	0.0097	1	7	2	1	1536537600	137035.661	197447.834	3.838	5	6	6	5	6	5	2
SP19	BR_SP_03	1568246400	500	52	236	0.0231	2	7	5	1	1568246400	137033.033	197443.066	3.581	9	6	6	5	6	5	NA
SP19	BR_SP_03	1568246400	1000	52	66	0.0141	2	7	5	1	1568246400	137033.033	197443.066	3.581	9	6	6	5	6	5	NA
SP18	BR_SP_03	1536537600	1000	53	24	0.005	1	7	2	1	1536537600	137033.086	197443.035	3.416	5	6	6	5	6	5	2
SP18	BR_SP_03	1536537600	500	53	65	0.0075	1	7	2	1	1536537600	137033.086	197443.035	3.416	5	6	6	5	6	5	2
SP19	BR_SP_04	1568246400	500	52	320	0.0245	2	7	5	1	1568246400	137027.117	197432.579	2.664	9	6	6	5	6	5	NA
SP19	BR_SP_04	1568246400	1000	52	81	0.0173	2	7	5	1	1568246400	137027.117	197432.579	2.664	9	6	6	5	6	5	NA
SP18	BR_SP_04	1536537600	1000	53	12	0.0014	1	7	2	1	1536537600	137027.046	197432.432	2.129	6	6	6	5	6	5	2
SP18	BR_SP_04	1536537600	500	53	41	0.0023	1	7	2	1	1536537600	137027.046	197432.432	2.129	6	6	6	5	6	5	2
SP19	BR_SP_05	1568246400	500	52	279	0.0118	2	7	5	1	1568246400	137024.582	197428.008	2.088	9	4	6	5	6	5	NA
SP19	BR_SP_05	1568246400	1000	52	29	0.0085	2	7	5	1	1568246400	137024.582	197428.008	2.088	9	4	6	5	6	5	NA
SP19	BR_SP_05	1568246400	1000	10	1	3e-04	2	7	5	1	1568246400	137024.582	197428.008	2.088	9	4	6	5	6	5	NA
SP19	BR_SP_05	1568246400	500	10	16	3e-04	2	7	5	1	1568246400	137024.582	197428.008	2.088	9	4	6	5	6	5	NA
SP19	BR_SP_05	1568246400	1000	10	1	0	2	7	5	1	1568246400	137024.582	197428.008	2.088	9	4	6	5	6	5	NA
SP19	BR_SP_05	1568246400	500	49	3	0	2	7	5	1	1568246400	137024.582	197428.008	2.088	9	4	6	5	6	5	NA
SP18	BR_SP_05	1536537600	1000	31	0	0	1	7	2	1	1536537600	137024.535	197428.067	1.458	6	4	6	5	6	5	2
SP18	BR_SP_05	1536537600	500	53	4	5e-04	1	7	2	1	1536537600	137024.535	197428.067	1.458	6	4	6	5	6	5	2
SP19	BRa_SP_01	1568246400	1000	31	0	0	2	8	5	1	1568246400	136670.162	197565.425	2.241	9	6	6	5	6	5	NA
SP19	BRa_SP_01	1568246400	500	31	0	0	2	8	5	1	1568246400	136670.162	197565.425	2.241	9	6	6	5	6	5	NA
SP18	BRa_SP_01	1536537600	500	20	0	1e-04	1	8	2	1	1536537600	136670.183	197565.489	2.89	6	6	6	5	6	5	2
SP18	BRa_SP_01	1536537600	1000	31	0	0	1	8	2	1	1536537600	136670.183	197565.489	2.89	6	6	6	5	6	5	2
SP19	BRa_SP_02	1568246400	1000	31	0	0	2	8	5	1	1568246400	136668.742	197561.824	1.628	9	6	6	5	6	5	NA
SP19	BRa_SP_02	1568246400	500	31	0	0	2	8	5	1	1568246400	136668.742	197561.824	1.628	9	6	6	5	6	5	NA
SP18	BRa_SP_02	1536537600	1000	31	0	0	1	8	2	1	1536537600	136668.894	197562.313	2.41	6	6	6	5	6	5	2
SP18	BRa_SP_02	1536537600	500	53	1	4e-04	1	8	2	1	1536537600	136668.894	197562.313	2.41	6	6	6	5	6	5	2
SP19	BRa_SP_03	1568246400	1000	31	0	0	2	8	5	1	1568246400	136668.014	197560.007	1.429	9	6	6	5	6	5	NA
SP19	BRa_SP_03	1568246400	500	31	0	0	2	8	5	1	1568246400	136668.014	197560.007	1.429	9	6	6	5	6	5	NA
SP18	BRa_SP_03	1536537600	1000	31	0	0	1	8	2	1	1536537600	136667.373	197558.604	1.796	6	6	6	5	6	5	2
SP18	BRa_SP_03	1536537600	500	31	0	0	1	8	2	1	1536537600	136667.373	197558.604	1.796	6	6	6	5	6	5	2
SP19	BRa_SP_04	1568246400	1000	31	0	0	2	8	5	1	1568246400	136665.904	197555.033	0.876	9	4	6	5	6	5	NA
SP19	BRa_SP_04	1568246400	500	31	0	0	2	8	5	1	1568246400	136665.904	197555.033	0.876	9	4	6	5	6	5	NA
SP18	BRa_SP_04	1536537600	1000	31	0	0	1	8	2	1	1536537600	136665.068	197553.561	1.2	6	4	6	5	6	5	2
SP18	BRa_SP_04	1536537600	500	31	0	0	1	8	2	1	1536537600	136665.068	197553.561	1.2	6	4	6	5	6	5	2
SP19	BRa_SP_05	1568246400	1000	31	0	0	2	8	5	1	1568246400	136663.43	197549.164	0.377	9	4	6	5	6	5	NA
SP19	BRa_SP_05	1568246400	500	31	0	0	2	8	5	1	1568246400	136663.43	197549.164	0.377	9	4	6	5	6	5	NA
SP18	BRa_SP_05	1536537600	1000	31	0	0	1	8	2	1	1536537600	136663.476	197549.198	0.622	6	4	6	5	6	5	2
SP18	BRa_SP_05	1536537600	500	53	2	3e-04	1	8	2	1	1536537600	136663.476	197549.198	0.622	6	4	6	5	6	5	2
SP18	DD18_01	1536105600	500	49	2	0	1	9	1	1	1536105600	138210.908	194164.06	4.561	15	3	6	5	6	5	4
SP18	DD18_01	1536105600	1000	53	24	0.0052	1	9	1	1	1536105600	138210.908	194164.06	4.561	15	3	6	5	6	5	4
SP18	DD18_01	1536105600	500	53	111	0.0137	1	9	1	1	1536105600	138210.908	194164.06	4.561	15	3	6	5	6	5	4
SP18	DD18_02	1536883200	1000	31	0	0	1	9	1	1	1536883200	134799.625	193265.517	4.467	4	6	6	5	7	5	4
SP18	DD18_02	1536883200	500	53	0	2e-04	1	9	1	1	1536883200	134799.625	193265.517	4.467	4	6	6	5	7	5	4
SP18	DD18_03	1536105600	500	10	1	5e-04	1	9	1	1	1536105600	138228.912	194429.429	7.052	15	3	6	5	6	5	4
SP18	DD18_03	1536105600	500	13	1	5e-04	1	9	1	1	1536105600	138228.912	194429.429	7.052	15	3	6	5	6	5	4
SP18	DD18_03	1536105600	1000	31	0	0	1	9	1	1	1536105600	138228.912	194429.429	7.052	15	3	6	5	6	5	4
SP18	DD18_03	1536105600	500	49	14	0	1	9	1	1	1536105600	138228.912	194429.429	7.052	15	3	6	5	6	5	4
SP18	DD18_03	1536105600	500	53	30	0.0011	1	9	1	1	1536105600	138228.912	194429.429	7.052	15	3	6	5	6	5	4
SP18	DD18_04	1536537600	1000	23	1	0.0023	1	9	1	1	1536537600	136362.02	198242.14	4.625	15	6	6	5	6	5	4
SP18	DD18_04	1536537600	1000	53	2	5e-04	1	9	1	1	1536537600	136362.02	198242.14	4.625	15	6	6	5	6	5	4
SP18	DD18_04	1536537600	500	53	20	0.0016	1	9	1	1	1536537600	136362.02	198242.14	4.625	15	6	6	5	6	5	4
SP18	DD18_05	1535500800	1000	31	0	0	1	9	1	1	1535500800	137150.831	192828.563	2.008	5	6	6	5	6	5	7
SP18	DD18_05	1535500800	500	53	2	8e-04	1	9	1	1	1535500800	137150.831	192828.563	2.008	5	6	6	5	6	5	7
SP18	DD18_06	1536192000	500	31	0	0	1	9	1	1	1536192000	133470.536	193605.623	2.667	15	6	6	5	7	5	7
SP18	DD18_06	1536192000	1000	53	1	1e-04	1	9	1	1	1536192000	133470.536	193605.623	2.667	15	6	6	5	7	5	7
SP18	DD18_07	1536105600	1000	53	7	0.0018	1	9	1	1	1536105600	133420.229	194272.754	2.454	15	6	6	5	7	5	7
SP18	DD18_07	1536105600	500	53	14	0.0022	1	9	1	1	1536105600	133420.229	194272.754	2.454	15	6	6	5	7	5	7
SP18	DD18_08	1536624000	1000	31	0	0	1	9	1	1	1536624000	134949.156	194131.234	1.99	2	6	6	5	7	5	7
SP18	DD18_08	1536624000	500	31	0	0	1	9	1	1	1536624000	134949.156	194131.234	1.99	2	6	6	5	7	5	7
SP18	DD18_09	1536537600	1000	31	0	0	1	9	1	1	1536537600	136327.549	197870.233	0.818	6	4	6	5	6	5	5
