campagne.x	staal	datum.x	fractie	soort	aantal	AFDW	jaar	staalcode	campagne.y	tidaal	datum.y	real_X	real_Y	Z	geomorf	ecotoop_werkelijk	SalZone	Vallei_deel	Omessegment	KRWzone	ecotoop_gepland
SP19	APa_SP_01	1568073600	500	52	105	0.0074	2	1	5	1	1568073600	128969.779	193170.266	4.13	9	6	5	5	8	4	NA
SP19	APa_SP_01	1568073600	1000	52	8	0.0026	2	1	5	1	1568073600	128969.779	193170.266	4.13	9	6	5	5	8	4	NA
SP19	APa_SP_01	1568073600	500	49	2	0	2	1	5	1	1568073600	128969.779	193170.266	4.13	9	6	5	5	8	4	NA
SP18	APa_SP_01	1536192000	1000	53	30	0.0081	1	1	2	1	1536192000	128969.819	193170.18	4.049	15	6	5	5	8	4	2
SP18	APa_SP_01	1536192000	500	53	66	0.0035	1	1	2	1	1536192000	128969.819	193170.18	4.049	15	6	5	5	8	4	2
SP19	APa_SP_02	1568073600	500	52	3	6e-04	2	1	5	1	1568073600	128966.783	193181.951	3.034	9	6	5	5	8	4	NA
SP19	APa_SP_02	1568073600	1000	52	2	5e-04	2	1	5	1	1568073600	128966.783	193181.951	3.034	9	6	5	5	8	4	NA
SP18	APa_SP_02	1536192000	1000	53	1	5e-04	1	1	2	1	1536192000	128966.766	193181.915	3.018	5	6	5	5	8	4	2
SP18	APa_SP_02	1536192000	500	53	20	8e-04	1	1	2	1	1536192000	128966.766	193181.915	3.018	5	6	5	5	8	4	2
SP19	APa_SP_03	1568073600	500	52	19	0.0011	2	1	5	1	1568073600	128966.832	193183.741	2.706	9	6	5	5	8	4	NA
SP19	APa_SP_03	1568073600	1000	31	0	0	2	1	5	1	1568073600	128966.832	193183.741	2.706	9	6	5	5	8	4	NA
SP18	APa_SP_03	1536192000	1000	53	2	4e-04	1	1	2	1	1536192000	128966.836	193183.696	2.713	5	6	5	5	8	4	2
SP18	APa_SP_03	1536192000	500	53	6	7e-04	1	1	2	1	1536192000	128966.836	193183.696	2.713	5	6	5	5	8	4	2
SP19	APa_SP_04	1568073600	500	52	9	4e-04	2	1	5	1	1568073600	128966.386	193187.735	2.067	9	6	5	5	8	4	NA
SP19	APa_SP_04	1568073600	1000	52	1	2e-04	2	1	5	1	1568073600	128966.386	193187.735	2.067	9	6	5	5	8	4	NA
SP18	APa_SP_04	1536192000	1000	53	1	4e-04	1	1	2	1	1536192000	128966.337	193187.711	2.051	6	6	5	5	8	4	2
SP18	APa_SP_04	1536192000	500	53	6	7e-04	1	1	2	1	1536192000	128966.337	193187.711	2.051	6	6	5	5	8	4	2
SP19	APa_SP_05	1568073600	1000	31	0	0	2	1	5	1	1568073600	128966.164	193191.806	1.442	9	4	5	5	8	4	NA
SP19	APa_SP_05	1568073600	500	52	3	0	2	1	5	1	1568073600	128966.164	193191.806	1.442	9	4	5	5	8	4	NA
SP18	APa_SP_05	1536192000	1000	53	4	0.001	1	1	2	1	1536192000	128966.13	193191.767	1.53	6	4	5	5	8	4	2
SP18	APa_SP_05	1536192000	500	53	23	0.0021	1	1	2	1	1536192000	128966.13	193191.767	1.53	6	4	5	5	8	4	2
SP19	APc_SP_01	1568073600	500	52	175	0.0126	2	2	5	1	1568073600	129082.377	193189.236	3.975	9	6	5	5	8	4	NA
SP19	APc_SP_01	1568073600	1000	52	57	0.0113	2	2	5	1	1568073600	129082.377	193189.236	3.975	9	6	5	5	8	4	NA
SP18	APc_SP_01	1536192000	500	49	1	0	1	2	2	1	1536192000	129082.403	193189.221	3.967	15	6	5	5	8	4	2
SP18	APc_SP_01	1536192000	1000	53	87	0.0213	1	2	2	1	1536192000	129082.403	193189.221	3.967	15	6	5	5	8	4	2
SP18	APc_SP_01	1536192000	500	53	181	0.0111	1	2	2	1	1536192000	129082.403	193189.221	3.967	15	6	5	5	8	4	2
SP19	APc_SP_02	1568073600	500	52	141	0.0152	2	2	5	1	1568073600	129077.55	193200.668	4.87	9	3	5	5	8	4	NA
SP19	APc_SP_02	1568073600	1000	52	31	0.0039	2	2	5	1	1568073600	129077.55	193200.668	4.87	9	3	5	5	8	4	NA
SP18	APc_SP_02	1536192000	1000	53	10	0.0016	1	2	2	1	1536192000	129077.567	193200.661	4.871	5	3	5	5	8	4	2
SP18	APc_SP_02	1536192000	500	53	130	0.0093	1	2	2	1	1536192000	129077.567	193200.661	4.871	5	3	5	5	8	4	2
SP19	APc_SP_03	1568073600	500	52	54	0.0337	2	2	5	1	1568073600	129074.916	193208.585	3.683	9	6	5	5	8	4	NA
SP19	APc_SP_03	1568073600	1000	52	4	9e-04	2	2	5	1	1568073600	129074.916	193208.585	3.683	9	6	5	5	8	4	NA
SP18	APc_SP_03	1536192000	500	53	19	0.0013	1	2	2	1	1536192000	129074.954	193208.534	3.75	5	6	5	5	8	4	2
SP18	APc_SP_03	1536192000	1000	53	10	6e-04	1	2	2	1	1536192000	129074.954	193208.534	3.75	5	6	5	5	8	4	2
SP19	APc_SP_04	1568073600	500	52	26	0.0017	2	2	5	1	1568073600	129073.318	193212.843	2.77	9	6	5	5	8	4	NA
SP19	APc_SP_04	1568073600	1000	52	9	0.0012	2	2	5	1	1568073600	129073.318	193212.843	2.77	9	6	5	5	8	4	NA
SP18	APc_SP_04	1536192000	1000	31	0	0	1	2	2	1	1536192000	129073.322	193212.789	2.737	5	6	5	5	8	4	2
SP18	APc_SP_04	1536192000	500	53	1	0	1	2	2	1	1536192000	129073.322	193212.789	2.737	5	6	5	5	8	4	2
SP19	APc_SP_05	1568073600	1000	52	2	3e-04	2	2	5	1	1568073600	129071.822	193216.005	2.105	9	4	5	5	8	4	NA
SP19	APc_SP_05	1568073600	500	52	5	2e-04	2	2	5	1	1568073600	129071.822	193216.005	2.105	9	4	5	5	8	4	NA
SP18	APc_SP_05	1536192000	1000	31	0	0	1	2	2	1	1536192000	129071.843	193216.053	1.868	6	4	5	5	8	4	2
SP18	APc_SP_05	1536192000	500	53	1	5e-04	1	2	2	1	1536192000	129071.843	193216.053	1.868	6	4	5	5	8	4	2
SP19	BAL_SP_01	1568332800	500	52	483	0.0542	2	3	5	1	1568332800	141408.894	200783.974	3.851	9	6	2	5	5	6	NA
SP19	BAL_SP_01	1568332800	1000	52	329	0.0472	2	3	5	1	1568332800	141408.894	200783.974	3.851	9	6	2	5	5	6	NA
SP18	BAL_SP_01	1535673600	1000	53	127	0.0182	1	3	2	1	1535673600	141408.872	200784.108	3.724	5	10	2	5	5	6	2
SP18	BAL_SP_01	1535673600	500	53	155	0.01	1	3	2	1	1535673600	141408.872	200784.108	3.724	5	10	2	5	5	6	2
SP19	BAL_SP_02	1568332800	500	52	414	0.0247	2	3	5	1	1568332800	141409.793	200775.483	2.969	7	6	2	5	5	6	NA
SP19	BAL_SP_02	1568332800	1000	52	84	0.0132	2	3	5	1	1568332800	141409.793	200775.483	2.969	7	6	2	5	5	6	NA
SP19	BAL_SP_02	1568332800	500	13	2	0	2	3	5	1	1568332800	141409.793	200775.483	2.969	7	6	2	5	5	6	NA
SP19	BAL_SP_02	1568332800	500	49	1	0	2	3	5	1	1568332800	141409.793	200775.483	2.969	7	6	2	5	5	6	NA
SP18	BAL_SP_02	1535673600	1000	53	121	0.0183	1	3	2	1	1535673600	141409.808	200775.467	2.911	5	6	2	5	5	6	2
SP18	BAL_SP_02	1535673600	500	53	171	0.0148	1	3	2	1	1535673600	141409.808	200775.467	2.911	5	6	2	5	5	6	2
SP19	BAL_SP_03	1568332800	500	52	41	0.0034	2	3	5	1	1568332800	141411.712	200765.178	2.11	7	6	2	5	5	6	NA
SP19	BAL_SP_03	1568332800	1000	52	11	0.0015	2	3	5	1	1568332800	141411.712	200765.178	2.11	7	6	2	5	5	6	NA
SP18	BAL_SP_03	1535673600	1000	53	14	0.0017	1	3	2	1	1535673600	141411.675	200765.186	2.101	5	6	2	5	5	6	2
SP18	BAL_SP_03	1535673600	500	53	64	0.0044	1	3	2	1	1535673600	141411.675	200765.186	2.101	5	6	2	5	5	6	2
SP19	BAL_SP_04	1568332800	500	5	10	6e-04	2	3	5	1	1568332800	141412.507	200733.386	1.228	13	4	2	5	5	6	NA
SP19	BAL_SP_04	1568332800	500	52	3	4e-04	2	3	5	1	1568332800	141412.507	200733.386	1.228	13	4	2	5	5	6	NA
SP19	BAL_SP_04	1568332800	1000	5	1	3e-04	2	3	5	1	1568332800	141412.507	200733.386	1.228	13	4	2	5	5	6	NA
SP18	BAL_SP_04	1535673600	500	5	7	8e-04	1	3	2	1	1535673600	141412.532	200733.43	1.248	18	4	2	5	5	6	2
SP18	BAL_SP_04	1535673600	1000	31	0	0	1	3	2	1	1535673600	141412.532	200733.43	1.248	18	4	2	5	5	6	2
SP19	BAL_SP_05	1568332800	500	5	15	6e-04	2	3	5	1	1568332800	141411.679	200675.827	0.88	13	4	2	5	5	6	NA
SP19	BAL_SP_05	1568332800	1000	5	4	5e-04	2	3	5	1	1568332800	141411.679	200675.827	0.88	13	4	2	5	5	6	NA
SP19	BAL_SP_05	1568332800	1000	52	2	3e-04	2	3	5	1	1568332800	141411.679	200675.827	0.88	13	4	2	5	5	6	NA
SP19	BAL_SP_05	1568332800	500	52	1	0	2	3	5	1	1568332800	141411.679	200675.827	0.88	13	4	2	5	5	6	NA
SP18	BAL_SP_05	1535673600	1000	5	0	6e-04	1	3	2	1	1535673600	141411.646	200675.84	1.02	18	4	2	5	5	6	2
SP18	BAL_SP_05	1535673600	500	5	9	7e-04	1	3	2	1	1535673600	141411.646	200675.84	1.02	18	4	2	5	5	6	2
SP19	BALa_SP_01	1568332800	1000	52	221	0.0319	2	4	5	1	1568332800	141582.19	200800.779	3.985	9	6	2	5	5	6	NA
SP19	BALa_SP_01	1568332800	500	52	432	0.0305	2	4	5	1	1568332800	141582.19	200800.779	3.985	9	6	2	5	5	6	NA
SP19	BALa_SP_01	1568332800	500	49	4	0	2	4	5	1	1568332800	141582.19	200800.779	3.985	9	6	2	5	5	6	NA
SP18	BALa_SP_01	1535673600	500	49	0	0	1	4	2	1	1535673600	141582.573	200799.968	3.679	15	6	2	5	5	6	2
SP18	BALa_SP_01	1535673600	1000	53	228	0.0292	1	4	2	1	1535673600	141582.573	200799.968	3.679	15	6	2	5	5	6	2
SP18	BALa_SP_01	1535673600	500	53	460	0.0228	1	4	2	1	1535673600	141582.573	200799.968	3.679	15	6	2	5	5	6	2
SP19	BALa_SP_02	1568332800	1000	52	140	0.017	2	4	5	1	1568332800	141583.023	200791.717	3.272	9	6	2	5	5	6	NA
SP19	BALa_SP_02	1568332800	500	52	80	0.0073	2	4	5	1	1568332800	141583.023	200791.717	3.272	9	6	2	5	5	6	NA
SP18	BALa_SP_02	1535673600	1000	53	142	0.0206	1	4	2	1	1535673600	141583.985	200787.249	2.984	5	6	2	5	5	6	2
SP18	BALa_SP_02	1535673600	500	53	143	0.013	1	4	2	1	1535673600	141583.985	200787.249	2.984	5	6	2	5	5	6	2
SP19	BALa_SP_03	1568332800	1000	52	28	0.0045	2	4	5	1	1568332800	141584.16	200779.454	2.607	9	6	2	5	5	6	NA
SP19	BALa_SP_03	1568332800	500	52	20	0.0024	2	4	5	1	1568332800	141584.16	200779.454	2.607	9	6	2	5	5	6	NA
SP18	BALa_SP_03	1535673600	1000	43	0	0.0021	1	4	2	1	1535673600	141586.462	200772.232	2.271	5	6	2	5	5	6	2
SP18	BALa_SP_03	1535673600	1000	53	48	0.0053	1	4	2	1	1535673600	141586.462	200772.232	2.271	5	6	2	5	5	6	2
SP18	BALa_SP_03	1535673600	500	53	66	0.0044	1	4	2	1	1535673600	141586.462	200772.232	2.271	5	6	2	5	5	6	2
SP19	BALa_SP_04	1568332800	1000	43	1	0.0089	2	4	5	1	1568332800	141585.78	200762.137	1.844	7	6	2	5	5	6	NA
SP19	BALa_SP_04	1568332800	1000	52	4	5e-04	2	4	5	1	1568332800	141585.78	200762.137	1.844	7	6	2	5	5	6	NA
SP19	BALa_SP_04	1568332800	500	52	3	4e-04	2	4	5	1	1568332800	141585.78	200762.137	1.844	7	6	2	5	5	6	NA
SP18	BALa_SP_04	1535673600	1000	31	0	0	1	4	2	1	1535673600	141586.859	200755.909	1.548	5	6	2	5	5	6	2
SP18	BALa_SP_04	1535673600	500	53	1	3e-04	1	4	2	1	1535673600	141586.859	200755.909	1.548	5	6	2	5	5	6	2
SP19	BALa_SP_05	1568332800	1000	43	1	0.0027	2	4	5	1	1568332800	141588.275	200734.755	0.92	13	4	2	5	5	6	NA
SP19	BALa_SP_05	1568332800	500	31	0	0	2	4	5	1	1568332800	141588.275	200734.755	0.92	13	4	2	5	5	6	NA
SP18	BALa_SP_05	1535673600	500	5	1	2e-04	1	4	2	1	1535673600	141588.289	200734.736	0.904	6	4	2	5	5	6	2
SP18	BALa_SP_05	1535673600	1000	43	1	7e-04	1	4	2	1	1535673600	141588.289	200734.736	0.904	6	4	2	5	5	6	2
SP18	BALa_SP_05	1535673600	500	53	1	1e-04	1	4	2	1	1535673600	141588.289	200734.736	0.904	6	4	2	5	5	6	2
SP19	BM_SP_01	1567987200	500	52	119	0.0053	2	5	5	1	1567987200	121606.67	190141.566	4.394	9	3	5	5	9	4	NA
SP19	BM_SP_01	1567987200	1000	52	33	0.0051	2	5	5	1	1567987200	121606.67	190141.566	4.394	9	3	5	5	9	4	NA
SP19	BM_SP_01	1567987200	500	13	1	0	2	5	5	1	1567987200	121606.67	190141.566	4.394	9	3	5	5	9	4	NA
SP19	BM_SP_01	1567987200	500	49	1	0	2	5	5	1	1567987200	121606.67	190141.566	4.394	9	3	5	5	9	4	NA
SP18	BM_SP_01	1536019200	1000	27	1	0.0034	1	5	2	1	1536019200	121593.254	190162.528	1.712	6	6	5	5	9	4	2
SP18	BM_SP_01	1536019200	500	27	0	7e-04	1	5	2	1	1536019200	121593.254	190162.528	1.712	6	6	5	5	9	4	2
SP18	BM_SP_01	1536019200	1000	53	8	8e-04	1	5	2	1	1536019200	121593.254	190162.528	1.712	6	6	5	5	9	4	2
SP18	BM_SP_01	1536019200	500	53	69	0.002	1	5	2	1	1536019200	121593.254	190162.528	1.712	6	6	5	5	9	4	2
SP19	BM_SP_02	1567987200	1000	31	0	0	2	5	5	1	1567987200	121601.008	190149.526	3.595	7	6	5	5	9	4	NA
SP19	BM_SP_02	1567987200	500	31	0	0	2	5	5	1	1567987200	121601.008	190149.526	3.595	7	6	5	5	9	4	NA
SP18	BM_SP_02	1536019200	1000	31	0	0	1	5	2	1	1536019200	121594.481	190160.28	2.134	6	6	5	5	9	4	2
SP18	BM_SP_02	1536019200	500	31	0	0	1	5	2	1	1536019200	121594.481	190160.28	2.134	6	6	5	5	9	4	2
SP19	BM_SP_03	1567987200	500	52	1	1e-04	2	5	5	1	1567987200	121596.764	190156.602	2.684	13	6	5	5	9	4	NA
SP19	BM_SP_03	1567987200	1000	31	0	0	2	5	5	1	1567987200	121596.764	190156.602	2.684	13	6	5	5	9	4	NA
SP18	BM_SP_03	1536019200	1000	31	0	0	1	5	2	1	1536019200	121596.77	190156.601	2.646	18	6	5	5	9	4	2
SP18	BM_SP_03	1536019200	500	31	0	0	1	5	2	1	1536019200	121596.77	190156.601	2.646	18	6	5	5	9	4	2
SP19	BM_SP_04	1567987200	1000	52	1	2e-04	2	5	5	1	1567987200	121594.472	190160.295	2.214	13	6	5	5	9	4	NA
SP19	BM_SP_04	1567987200	500	31	0	0	2	5	5	1	1567987200	121594.472	190160.295	2.214	13	6	5	5	9	4	NA
SP18	BM_SP_04	1536019200	1000	31	0	0	1	5	2	1	1536019200	121601.023	190149.562	3.747	18	6	5	5	9	4	2
SP18	BM_SP_04	1536019200	500	31	0	0	1	5	2	1	1536019200	121601.023	190149.562	3.747	18	6	5	5	9	4	2
SP19	BM_SP_05	1567987200	1000	31	0	0	2	5	5	1	1567987200	121593.256	190162.533	1.774	7	6	5	5	9	4	NA
SP19	BM_SP_05	1567987200	500	31	0	0	2	5	5	1	1567987200	121593.256	190162.533	1.774	7	6	5	5	9	4	NA
SP18	BM_SP_05	1536019200	1000	31	0	0	1	5	2	1	1536019200	121606.714	190141.586	4.246	18	3	5	5	9	4	2
SP18	BM_SP_05	1536019200	500	31	0	0	1	5	2	1	1536019200	121606.714	190141.586	4.246	18	3	5	5	9	4	2
SP19	BMa_SP_01	1567987200	1000	52	7	0.001	2	6	5	1	1567987200	121667.932	190150.116	4.411	9	3	5	5	9	4	NA
SP19	BMa_SP_01	1567987200	500	52	12	8e-04	2	6	5	1	1567987200	121667.932	190150.116	4.411	9	3	5	5	9	4	NA
SP18	BMa_SP_01	1536019200	1000	53	7	0.0011	1	6	2	1	1536019200	121667.939	190152.221	4.198	5	3	5	5	9	4	2
SP18	BMa_SP_01	1536019200	500	53	26	0.0012	1	6	2	1	1536019200	121667.939	190152.221	4.198	5	3	5	5	9	4	2
SP19	BMa_SP_02	1567987200	500	52	2	4e-04	2	6	5	1	1567987200	121668.938	190166.767	2.524	13	6	5	5	9	4	NA
SP19	BMa_SP_02	1567987200	1000	52	1	2e-04	2	6	5	1	1567987200	121668.938	190166.767	2.524	13	6	5	5	9	4	NA
SP18	BMa_SP_02	1536019200	1000	31	0	0	1	6	2	1	1536019200	121668.544	190160.764	3.859	5	6	5	5	9	4	2
SP18	BMa_SP_02	1536019200	500	31	0	0	1	6	2	1	1536019200	121668.544	190160.764	3.859	5	6	5	5	9	4	2
SP19	BMa_SP_03	1569628800	1000	31	0	0	2	6	5	1	1567987200	121669.427	190174.048	1.629	13	6	5	5	9	4	NA
SP19	BMa_SP_03	1569628800	500	31	0	0	2	6	5	1	1567987200	121669.427	190174.048	1.629	13	6	5	5	9	4	NA
SP18	BMa_SP_03	1536019200	1000	31	0	0	1	6	2	1	1536019200	121668.749	190163.34	3.323	5	6	5	5	9	4	2
SP18	BMa_SP_03	1536019200	500	53	1	1e-04	1	6	2	1	1536019200	121668.749	190163.34	3.323	5	6	5	5	9	4	2
